variant_id,method,mean_image_auroc,mean_image_ap,mean_best_f1,num_backbones,potential_call_rate,active_weight_rate
D0,Detector only,0.8954946292446293,0.9197540297873632,0.8447507093635995,1,,
V3,Naive detector-crop fusion,0.9688244975744976,0.97503761523574,0.9168684422921711,1,,
V4,Old Quality-Calibrated QCR,0.9777971240471242,0.9822289469664457,0.930652441526467,1,,
V6,Old Adaptive QCR,0.978259702009702,0.9826510669191934,0.9312039312039312,1,,
S1,SRB-QCR frozen transfer,0.9003248440748441,0.9166694971282714,0.8483639265762171,1,0.4158186864014801,0.4125809435707678
