category,num_images,num_normal,num_anomaly,potential_call_rate,active_weight_rate,D0_auroc,D0_ap,D0_best_f1,D0_best_accuracy,V3_auroc,V3_ap,V3_best_f1,V3_best_accuracy,V4_auroc,V4_ap,V4_best_f1,V4_best_accuracy,V6_auroc,V6_ap,V6_best_f1,V6_best_accuracy,S1_auroc,S1_ap,S1_best_f1,S1_best_accuracy,S1_minus_D0,S1_minus_V3,S1_minus_V4,S1_minus_V6
fruit_jelly,40,10,30,0.8,0.8,0.7166666666666667,0.910461401382017,0.8695652173913043,0.775,0.8766666666666668,0.9641684343877326,0.9,0.85,0.8833333333333333,0.9660999043192026,0.9,0.85,0.8833333333333333,0.9660999043192026,0.9,0.85,0.7466666666666667,0.9230399844813924,0.8695652173913043,0.775,0.030000000000000027,-0.13000000000000012,-0.1366666666666666,-0.1366666666666666
vial,71,18,53,0.7605633802816901,0.7464788732394366,0.8731656184486374,0.9525488479575177,0.9298245614035088,0.8873239436619719,0.9182389937106918,0.9722087689069248,0.9203539823008849,0.8732394366197183,0.9475890985324947,0.9808282638604192,0.9454545454545454,0.9154929577464789,0.9486373165618449,0.9811459056874949,0.9454545454545454,0.9154929577464789,0.8805031446540881,0.9555590664326625,0.9298245614035088,0.8873239436619719,0.007337526205450695,-0.037735849056603765,-0.06708595387840666,-0.06813417190775684
walnuts,75,30,45,0.8133333333333334,0.8133333333333334,0.8051851851851852,0.8852999224044822,0.7962962962962963,0.7066666666666667,0.777037037037037,0.8739369442687376,0.7758620689655172,0.6533333333333333,0.7918518518518518,0.8833820432526954,0.7787610619469026,0.6666666666666666,0.7918518518518518,0.8833820432526954,0.7787610619469026,0.6666666666666666,0.8059259259259259,0.8873657190602704,0.782608695652174,0.7333333333333333,0.0007407407407407085,0.028888888888888964,0.014074074074074128,0.014074074074074128
sheet_metal,57,12,45,0.6140350877192983,0.6140350877192983,0.7462962962962963,0.9259539089335671,0.8910891089108911,0.8070175438596491,0.7425925925925927,0.9206733463382989,0.9,0.8245614035087719,0.6537037037037037,0.886955109943296,0.9,0.8245614035087719,0.6537037037037037,0.886955109943296,0.9,0.8245614035087719,0.7425925925925926,0.9269730554842409,0.8910891089108911,0.8070175438596491,-0.0037037037037037646,-1.1102230246251565e-16,0.0888888888888889,0.0888888888888889
