category,semantic_weight,anomaly_weight,max_score_weight,area_weight,patchcore_top1_gt_iou,patchcore_top1_gt_f1,rerank_gt_iou,rerank_gt_f1,delta_f1
grid,0.0,1.0,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.0,0.8,0.1,0.1,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.0,0.6,0.2,0.2,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.1,0.9,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.1,0.7200000000000001,0.09000000000000001,0.09000000000000001,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.1,0.54,0.18000000000000002,0.18000000000000002,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.2,0.8,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.2,0.6400000000000001,0.08000000000000002,0.08000000000000002,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.2,0.48,0.16000000000000003,0.16000000000000003,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.3,0.7,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.3,0.5599999999999999,0.06999999999999999,0.06999999999999999,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.3,0.42,0.13999999999999999,0.13999999999999999,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.4,0.6,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.4,0.48,0.06,0.06,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.4,0.36,0.12,0.12,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.5,0.5,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.5,0.4,0.05,0.05,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.5,0.3,0.1,0.1,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.6,0.4,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.6,0.32000000000000006,0.04000000000000001,0.04000000000000001,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.6,0.24,0.08000000000000002,0.08000000000000002,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.7,0.30000000000000004,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.7,0.24000000000000005,0.030000000000000006,0.030000000000000006,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.7,0.18000000000000002,0.06000000000000001,0.06000000000000001,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.8,0.19999999999999996,0.0,0.0,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.8,0.15999999999999998,0.019999999999999997,0.019999999999999997,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
grid,0.8,0.11999999999999997,0.039999999999999994,0.039999999999999994,0.3149347142857143,0.4559350714285716,0.3126480000000001,0.45298617857142875,-0.0029488928571428374
screw,0.0,1.0,0.0,0.0,0.2735840666666667,0.38407579999999997,0.2831947999999999,0.39711363333333327,0.013037833333333304
screw,0.0,0.8,0.1,0.1,0.2735840666666667,0.38407579999999997,0.2831947999999999,0.39711363333333327,0.013037833333333304
screw,0.0,0.6,0.2,0.2,0.2735840666666667,0.38407579999999997,0.2831947999999999,0.39711363333333327,0.013037833333333304
screw,0.1,0.9,0.0,0.0,0.2735840666666667,0.38407579999999997,0.2831947999999999,0.39711363333333327,0.013037833333333304
screw,0.1,0.7200000000000001,0.09000000000000001,0.09000000000000001,0.2735840666666667,0.38407579999999997,0.2831947999999999,0.39711363333333327,0.013037833333333304
screw,0.1,0.54,0.18000000000000002,0.18000000000000002,0.2735840666666667,0.38407579999999997,0.2831947999999999,0.39711363333333327,0.013037833333333304
screw,0.2,0.8,0.0,0.0,0.2735840666666667,0.38407579999999997,0.2831947999999999,0.39711363333333327,0.013037833333333304
screw,0.2,0.6400000000000001,0.08000000000000002,0.08000000000000002,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.2,0.48,0.16000000000000003,0.16000000000000003,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.3,0.7,0.0,0.0,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.3,0.5599999999999999,0.06999999999999999,0.06999999999999999,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.3,0.42,0.13999999999999999,0.13999999999999999,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.4,0.6,0.0,0.0,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.4,0.48,0.06,0.06,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.4,0.36,0.12,0.12,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.5,0.5,0.0,0.0,0.2735840666666667,0.38407579999999997,0.28924199999999994,0.40598809999999996,0.021912299999999996
screw,0.5,0.4,0.05,0.05,0.2735840666666667,0.38407579999999997,0.2894365499999999,0.40637271666666663,0.022296916666666666
screw,0.5,0.3,0.1,0.1,0.2735840666666667,0.38407579999999997,0.2805564166666666,0.39478596666666665,0.010710166666666687
screw,0.6,0.4,0.0,0.0,0.2735840666666667,0.38407579999999997,0.2805564166666666,0.39478596666666665,0.010710166666666687
screw,0.6,0.32000000000000006,0.04000000000000001,0.04000000000000001,0.2735840666666667,0.38407579999999997,0.2805564166666666,0.39478596666666665,0.010710166666666687
screw,0.6,0.24,0.08000000000000002,0.08000000000000002,0.2735840666666667,0.38407579999999997,0.2805564166666666,0.39478596666666665,0.010710166666666687
screw,0.7,0.30000000000000004,0.0,0.0,0.2735840666666667,0.38407579999999997,0.2805564166666666,0.39478596666666665,0.010710166666666687
screw,0.7,0.24000000000000005,0.030000000000000006,0.030000000000000006,0.2735840666666667,0.38407579999999997,0.2805564166666666,0.39478596666666665,0.010710166666666687
screw,0.7,0.18000000000000002,0.06000000000000001,0.06000000000000001,0.2735840666666667,0.38407579999999997,0.2805564166666666,0.39478596666666665,0.010710166666666687
screw,0.8,0.19999999999999996,0.0,0.0,0.2735840666666667,0.38407579999999997,0.29055144999999993,0.40945919999999997,0.0253834
screw,0.8,0.15999999999999998,0.019999999999999997,0.019999999999999997,0.2735840666666667,0.38407579999999997,0.29055144999999993,0.40945919999999997,0.0253834
screw,0.8,0.11999999999999997,0.039999999999999994,0.039999999999999994,0.2735840666666667,0.38407579999999997,0.29055144999999993,0.40945919999999997,0.0253834
leather,0.0,1.0,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.0,0.8,0.1,0.1,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.0,0.6,0.2,0.2,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.1,0.9,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.1,0.7200000000000001,0.09000000000000001,0.09000000000000001,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.1,0.54,0.18000000000000002,0.18000000000000002,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.2,0.8,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.2,0.6400000000000001,0.08000000000000002,0.08000000000000002,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.2,0.48,0.16000000000000003,0.16000000000000003,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.3,0.7,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.3,0.5599999999999999,0.06999999999999999,0.06999999999999999,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.3,0.42,0.13999999999999999,0.13999999999999999,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.4,0.6,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.4,0.48,0.06,0.06,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.4,0.36,0.12,0.12,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.5,0.5,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.5,0.4,0.05,0.05,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.5,0.3,0.1,0.1,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.6,0.4,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.6,0.32000000000000006,0.04000000000000001,0.04000000000000001,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.6,0.24,0.08000000000000002,0.08000000000000002,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.7,0.30000000000000004,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.7,0.24000000000000005,0.030000000000000006,0.030000000000000006,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.7,0.18000000000000002,0.06000000000000001,0.06000000000000001,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.8,0.19999999999999996,0.0,0.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.8,0.15999999999999998,0.019999999999999997,0.019999999999999997,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
leather,0.8,0.11999999999999997,0.039999999999999994,0.039999999999999994,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,0.0
wood,0.0,1.0,0.0,0.0,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.0,0.8,0.1,0.1,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.0,0.6,0.2,0.2,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.1,0.9,0.0,0.0,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.1,0.7200000000000001,0.09000000000000001,0.09000000000000001,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.1,0.54,0.18000000000000002,0.18000000000000002,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.2,0.8,0.0,0.0,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.2,0.6400000000000001,0.08000000000000002,0.08000000000000002,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.2,0.48,0.16000000000000003,0.16000000000000003,0.26785223333333336,0.39247019999999994,0.2650378666666667,0.389016,-0.003454199999999963
wood,0.3,0.7,0.0,0.0,0.26785223333333336,0.39247019999999994,0.26840769999999997,0.39304563333333326,0.0005754333333333195
wood,0.3,0.5599999999999999,0.06999999999999999,0.06999999999999999,0.26785223333333336,0.39247019999999994,0.26840769999999997,0.39304563333333326,0.0005754333333333195
wood,0.3,0.42,0.13999999999999999,0.13999999999999999,0.26785223333333336,0.39247019999999994,0.26840769999999997,0.39304563333333326,0.0005754333333333195
wood,0.4,0.6,0.0,0.0,0.26785223333333336,0.39247019999999994,0.26840769999999997,0.39304563333333326,0.0005754333333333195
wood,0.4,0.48,0.06,0.06,0.26785223333333336,0.39247019999999994,0.26840769999999997,0.39304563333333326,0.0005754333333333195
wood,0.4,0.36,0.12,0.12,0.26785223333333336,0.39247019999999994,0.26840769999999997,0.39304563333333326,0.0005754333333333195
wood,0.5,0.5,0.0,0.0,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.5,0.4,0.05,0.05,0.26785223333333336,0.39247019999999994,0.2651462,0.38780533333333334,-0.0046648666666666005
wood,0.5,0.3,0.1,0.1,0.26785223333333336,0.39247019999999994,0.2651462,0.38780533333333334,-0.0046648666666666005
wood,0.6,0.4,0.0,0.0,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.6,0.32000000000000006,0.04000000000000001,0.04000000000000001,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.6,0.24,0.08000000000000002,0.08000000000000002,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.7,0.30000000000000004,0.0,0.0,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.7,0.24000000000000005,0.030000000000000006,0.030000000000000006,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.7,0.18000000000000002,0.06000000000000001,0.06000000000000001,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.8,0.19999999999999996,0.0,0.0,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.8,0.15999999999999998,0.019999999999999997,0.019999999999999997,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
wood,0.8,0.11999999999999997,0.039999999999999994,0.039999999999999994,0.26785223333333336,0.39247019999999994,0.2638951,0.3859371,-0.006533099999999958
