category,patchcore_top1_gt_f1,best_rerank_gt_f1,best_delta_f1,best_semantic_weight,best_anomaly_weight,best_max_score_weight,best_area_weight
grid,0.4559350714285716,0.45298617857142875,-0.0029488928571428374,0.0,1.0,0.0,0.0
leather,0.5023771521739132,0.5023771521739132,0.0,0.0,1.0,0.0,0.0
screw,0.38407579999999997,0.40945919999999997,0.0253834,0.8,0.15999999999999998,0.019999999999999997,0.019999999999999997
wood,0.39247019999999994,0.39304563333333326,0.0005754333333333195,0.3,0.7,0.0,0.0
MEAN,0.4337145559006212,0.43946704101966877,0.005752485119047621,0.275,0.7150000000000001,0.004999999999999999,0.004999999999999999
